ano,canal_slug,cep,bu_slug,classificacao_cliente_slug,categoria_slug,subcategoria_slug,canal,filial,cliente,bu,categoria,subcategoria,classificacao_cliente,_id_$oid,meses_12_tpr_3percnt_taxa,meses_12_tpr_preco_promo,meses_12_investimento_value,meses_12_investimento_group,meses_12_investimento_percentage,meses_12_ts_total_value,meses_12_ts_total_group,meses_12_ts_total_percentage,meses_12_pfme_total_value,meses_12_pfme_total_group,meses_12_pfme_total_percentage,meses_12_rs_packfisico_value,meses_12_rs_packfisico_group,meses_12_rs_sellin_value,meses_12_rs_sellin_group,meses_12_rs_sellout_value,meses_12_rs_sellout_group,meses_12_proporcao_investimento_value,meses_12_proporcao_investimento_group,meses_12_proporcao_investimento_percentage,meses_12_ts_visibilidade_value,meses_12_ts_visibilidade_group,meses_12_ts_visibilidade_percentage,meses_12_ts_visibilidade_rubric_percentage,meses_12_ts_ecommerce_value,meses_12_ts_ecommerce_group,meses_12_ts_ecommerce_percentage,meses_12_ts_ecommerce_rubric_percentage,meses_12_ts_midiakit_value,meses_12_ts_midiakit_group,meses_12_ts_midiakit_percentage,meses_12_ts_midiakit_rubric_percentage,meses_12_volume_sellin_value,meses_12_volume_sellin_group,meses_12_volume_sellin_percentage,meses_12_volume_sellout_value,meses_12_volume_sellout_group,meses_12_volume_sellout_percentage,meses_12_valor_sellout_value,meses_12_valor_sellout_group,meses_12_valor_sellout_percentage,meses_12_ts_rebaixopreco_value,meses_12_ts_rebaixopreco_group,meses_12_ts_rebaixopreco_percentage,meses_12_ts_rebaixopreco_rubric_percentage,meses_12_valor_packfisico_value,meses_12_valor_packfisico_group,meses_12_valor_packfisico_percentage,meses_12_volume_packfisico_value,meses_12_volume_packfisico_group,meses_12_volume_packfisico_percentage,meses_12_pfme_midiakit_value,meses_12_pfme_midiakit_group,meses_12_pfme_midiakit_percentage,meses_12_pfme_midiakit_rubric_percentage,meses_12_pfme_packvirtual_value,meses_12_pfme_packvirtual_group,meses_12_pfme_packvirtual_percentage,meses_12_pfme_packvirtual_rubric_percentage,meses_12_pfme_ecommerce_value,meses_12_pfme_ecommerce_group,meses_12_pfme_ecommerce_percentage,meses_12_pfme_ecommerce_rubric_percentage,meses_12_proporcao_packfisico
2023.0,geral,33193871,confectionary,demais,garoto,baton,geral,filial 3,VAREJO 8,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab053,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,25070.74,valor,80629.44,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.47,volume,33.05195,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,45221709,confectionary,demais,garoto,baton,geral,filial 3,VAREJO 10,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab054,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,6401.04,valor,20586.24,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.12,volume,12.14569,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,30678025,confectionary,demais,garoto,baton,geral,filial 3,VAREJO 12,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab055,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,16002.6,valor,51465.6,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.3,volume,8.06234,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,44222034,confectionary,demais,garoto,baton,geral,filial 4,VAREJO 4,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab056,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,valor,0.0,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,volume,0.0,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,27776120,confectionary,demais,garoto,baton,geral,filial 4,VAREJO 9,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab057,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,valor,171552.0,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,1.0,volume,6.91264,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,39027676,confectionary,demais,garoto,baton,geral,filial 4,VAREJO 6,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab058,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,valor,0.0,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,volume,0.0,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,27349620,confectionary,demais,garoto,baton,geral,filial 4,VAREJO 11,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab059,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,valor,0.0,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,volume,0.0,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,35332610,confectionary,demais,garoto,baton,geral,filial 5,VAREJO 5,CONFECTIONARY,GAROTO,BATON,DEMAIS,63fd178606cad1a9771ab05a,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,2764.0,valor,237084.864,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,1.382,volume,10.35867,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,40207009,confectionary,demais,garoto,bombons-garoto,geral,filial 1,VAREJO 1,CONFECTIONARY,GAROTO,BOMBONS GAROTO,DEMAIS,63fd178606cad1a9771ab05b,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,200.0,valor,3373.8,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.1,volume,11.10993,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
2023.0,geral,46255217,confectionary,demais,garoto,bombons-garoto,geral,filial 2,VAREJO 3,CONFECTIONARY,GAROTO,BOMBONS GAROTO,DEMAIS,63fd178606cad1a9771ab05c,0,0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,0.0,0.0,valor,10069.208,valor,9075.522,valor,0.0,valor,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,0.269,volume,11.10993,0.0,volume,0,0.0,valor,0,0.0,valor,0.0,0.0,0.0,valor,0.0,0.0,volume,0,0.0,valor,0.0,0.0,0.0,valor,0,0.0,0.0,valor,0,0.0,0.0
